site,date,day,tempHigh,tempLow,dewLow,dewHigh
EGANMARMD1,2016-06-10,1,82,63,37,61
EGANMARMD1,2016-06-11,2,96,66,58,70
EGANMARMD1,2016-06-12,3,93,70,34,67
EGANMARMD1,2016-06-13,4,81,64,42,55
EGANMARMD1,2016-06-14,5,81,67,45,58
EGANMARMD1,2016-06-15,6,83,66,58,68
EGANMARMD1,2016-06-16,7,89,68,65,71
EGANMARMD1,2016-07-04,8,74,68,65,73
EGANMARMD1,2016-07-05,9,91,74,70,76
EGANMARMD1,2016-07-06,10,94,77,69,76
EGANMARMD1,2016-07-07,11,93,77,69,76
EGANMARMD1,2016-07-08,12,91,77,68,77
EGANMARMD1,2016-07-09,13,93,78,61,76
EGANMARMD1,2016-07-10,14,86,74,60,62
EGANMARMD1,2016-08-03,15,83,72,64,67
EGANMARMD1,2016-08-04,16,86,70,59,67
EGANMARMD1,2016-08-05,17,85,73,66,74
EGANMARMD1,2016-08-06,18,94,75,69,76
EGANMARMD1,2016-08-07,19,92,71,56,63
EGANMARMD1,2016-08-08,20,92,70,56,68
EGANMARMD1,2016-08-09,21,81,68,62,75
FARYSIMMD1,2016-06-16,1,89,68,65,71
FARYSIMMD1,2016-06-17,2,82,66,55,65
FARYSIMMD1,2016-06-18,3,85,66,51,58
FARYSIMMD1,2016-06-19,4,90,65,51,58
FARYSIMMD1,2016-06-20,5,91,68,55,67
FARYSIMMD1,2016-06-21,6,91,72,61,72
FARYSIMMD1,2016-06-22,7,86,69,50,69
FARYSIMMD1,2016-07-11,8,88,70,52,66
FARYSIMMD1,2016-07-12,9,87,73,62,71
FARYSIMMD1,2016-07-13,10,90,75,68,76
FARYSIMMD1,2016-07-14,11,98,75,68,76
FARYSIMMD1,2016-07-15,12,94,76,62,70
FARYSIMMD1,2016-07-16,13,93,72,66,71
FARYSIMMD1,2016-07-17,14,93,71,61,72
FARYSIMMD1,2016-08-13,15,101,81,74,78
FARYSIMMD1,2016-08-14,16,100,80,68,77
FARYSIMMD1,2016-08-15,17,100,73,69,75
FARYSIMMD1,2016-08-16,18,97,75,72,77
FARYSIMMD1,2016-08-17,19,95,72,68,74
FARYSIMMD1,2016-08-18,20,92,74,67,73
FARYSIMMD1,2016-08-19,21,92,74,60,72
FISHFERVA1,2016-06-09,1,82,53,39,49
FISHFERVA1,2016-06-10,2,82,63,37,61
FISHFERVA1,2016-06-11,3,96,66,58,70
FISHFERVA1,2016-06-12,4,93,70,34,67
FISHFERVA1,2016-06-13,5,81,64,42,55
FISHFERVA1,2016-06-14,6,81,67,45,58
FISHFERVA1,2016-06-15,7,83,66,58,68
FISHFERVA1,2016-07-25,8,100,81,69,79
FISHFERVA1,2016-07-26,9,98,80,64,73
FISHFERVA1,2016-07-27,10,97,81,60,74
FISHFERVA1,2016-07-28,11,95,77,69,76
FISHFERVA1,2016-07-29,12,92,75,67,75
FISHFERVA1,2016-07-30,13,90,74,71,76
FISHFERVA1,2016-07-31,14,92,75,69,74
FISHFERVA1,2016-08-19,15,92,74,60,72
FISHFERVA1,2016-08-20,16,91,75,58,71
FISHFERVA1,2016-08-21,17,91,74,62,76
FISHFERVA1,2016-08-22,18,85,69,56,63
FISHFERVA1,2016-08-23,19,84,67,56,63
FISHFERVA1,2016-08-24,20,86,67,60,66
FISHFERVA1,2016-08-25,21,89,71,63,77
GECACARVA1,2016-06-13,1,81,64,42,55
GECACARVA1,2016-06-14,2,81,67,45,58
GECACARVA1,2016-06-15,3,83,66,58,68
GECACARVA1,2016-06-16,4,89,68,65,71
GECACARVA1,2016-06-17,5,82,66,55,65
GECACARVA1,2016-06-18,6,85,66,51,58
GECACARVA1,2016-06-19,7,90,65,51,58
GECACARVA1,2016-07-07,8,93,77,69,76
GECACARVA1,2016-07-08,9,91,77,68,77
GECACARVA1,2016-07-09,10,93,78,61,76
GECACARVA1,2016-07-10,11,86,74,60,62
GECACARVA1,2016-07-11,12,88,70,52,66
GECACARVA1,2016-07-12,13,87,73,62,71
GECACARVA1,2016-07-13,14,90,75,68,76
GECACARVA1,2016-08-19,15,92,74,60,72
GECACARVA1,2016-08-20,16,91,75,58,71
GECACARVA1,2016-08-21,17,91,74,62,76
GECACARVA1,2016-08-22,18,85,69,56,63
GECACARVA1,2016-08-23,19,84,67,56,63
GECACARVA1,2016-08-24,20,86,67,60,66
GECACARVA1,2016-08-25,21,89,71,63,77
JACOMERMD1,2016-06-21,1,91,72,61,72
JACOMERMD1,2016-06-22,2,86,69,50,69
JACOMERMD1,2016-06-23,3,82,70,67,71
JACOMERMD1,2016-06-24,4,86,71,67,72
JACOMERMD1,2016-06-25,5,85,72,57,66
JACOMERMD1,2016-06-26,6,86,66,49,64
JACOMERMD1,2016-06-27,7,87,68,62,72
JACOMERMD1,2016-07-20,8,89,70,59,70
JACOMERMD1,2016-07-21,9,90,71,62,70
JACOMERMD1,2016-07-22,10,95,74,68,72
JACOMERMD1,2016-07-23,11,98,79,68,78
JACOMERMD1,2016-07-24,12,97,80,64,76
JACOMERMD1,2016-07-25,13,100,81,69,79
JACOMERMD1,2016-07-26,14,98,80,64,73
JACOMERMD1,2016-08-17,15,95,72,68,74
JACOMERMD1,2016-08-18,16,92,74,67,73
JACOMERMD1,2016-08-19,17,92,74,60,72
JACOMERMD1,2016-08-20,18,91,75,58,71
JACOMERMD1,2016-08-21,19,91,74,62,76
JACOMERMD1,2016-08-22,20,85,69,56,63
JACOMERMD1,2016-08-23,21,84,67,56,63
KESTSABDC1,2016-06-14,1,81,67,45,58
KESTSABDC1,2016-06-15,2,83,66,58,68
KESTSABDC1,2016-06-16,3,89,68,65,71
KESTSABDC1,2016-06-17,4,82,66,55,65
KESTSABDC1,2016-06-18,5,85,66,51,58
KESTSABDC1,2016-06-19,6,90,65,51,58
KESTSABDC1,2016-06-20,7,91,68,55,67
KESTSABDC1,2016-07-21,8,90,71,62,70
KESTSABDC1,2016-07-22,9,95,74,68,72
KESTSABDC1,2016-07-23,10,98,79,68,78
KESTSABDC1,2016-07-24,11,97,80,64,76
KESTSABDC1,2016-07-25,12,100,81,69,79
KESTSABDC1,2016-07-26,13,98,80,64,73
