site,date_time,cat
STURCARMD1,2016-06-11T22:51:00Z,Crab
STURCARMD1,2016-08-24T14:23:00Z,Crab
TATEJUAMD1,2016-06-15T06:54:00Z,Jackie
TATEJUAMD1,2016-06-16T10:45:00Z,Jackie
TATEJUAMD1,2016-06-17T07:57:00Z,Jackie
TATEJUAMD1,2016-06-19T00:29:00Z,James
TATEJUAMD1,2016-06-19T22:01:00Z,James
TATEJUAMD1,2016-06-20T09:06:00Z,Jackie
TATEJUAMD1,2016-07-16T16:51:00Z,Jackie
TATEJUAMD1,2016-07-18T00:33:00Z,Jonathan
VONGJENMD1,2016-06-24T03:10:00Z,Jared
VONGJENMD1,2016-06-24T05:10:00Z,Jared
VONGJENMD1,2016-06-27T00:02:00Z,Jared
VONGJENMD1,2016-07-10T22:55:00Z,Jared
WILLTERMD1,2016-07-19T21:33:00Z,Timothy
ZAMBTRAMD1,2016-06-14T01:36:00Z,Ty
ZAMBTRAMD1,2016-08-12T00:07:00Z,Ty
